id,coords
0,46.514910:24.520230 46.514949:24.520618 46.514921:24.521163
1,46.514910:24.520230 46.515474:24.520308 46.515950:24.520174
2,46.514921:24.521163 46.514798:24.521818 46.514674:24.522513
3,46.514921:24.521163 46.515697:24.520732 46.516711:24.520150
4,46.514674:24.522513 46.514982:24.523382 46.515389:24.524104
5,46.514674:24.522513 46.515129:24.522530 46.515674:24.522718
6,46.515389:24.524104 46.515474:24.524784 46.515363:24.525329
7,46.515363:24.525329 46.515297:24.525932 46.515138:24.526605
8,46.515363:24.525329 46.515680:24.525495 46.515917:24.525512
9,46.515138:24.526605 46.514758:24.527279 46.514417:24.528211
10,46.515138:24.526605 46.515683:24.526508 46.516167:24.526287
11,46.514417:24.528211 46.514737:24.528754 46.515177:24.529355
12,46.514417:24.528211 46.515679:24.528215 46.516918:24.527986
13,46.515177:24.529355 46.514750:24.529499 46.514408:24.529650
14,46.515177:24.529355 46.515425:24.529311 46.515874:24.529086
15,46.514408:24.529650 46.514567:24.530537 46.514689:24.531528
16,46.514408:24.529650 46.515207:24.530054 46.515989:24.530407
17,46.514689:24.531528 46.514907:24.532497 46.515107:24.533023
18,46.514689:24.531528 46.514944:24.531578 46.515113:24.531520
19,46.515107:24.533023 46.515103:24.533550 46.515182:24.534059
20,46.515107:24.533023 46.515710:24.532721 46.516421:24.532518
21,46.515182:24.534059 46.515092:24.535063 46.515108:24.535830
22,46.515182:24.534059 46.515591:24.534497 46.516044:24.534777
23,46.515108:24.535830 46.514879:24.536868 46.514769:24.537729
24,46.515108:24.535830 46.515697:24.536054 46.516367:24.536323
25,46.514769:24.537729 46.514958:24.538352 46.515195:24.538800
26,46.514769:24.537729 46.515156:24.537192 46.515472:24.536798
27,46.515195:24.538800 46.515058:24.539110 46.514783:24.539232
28,46.515195:24.538800 46.515535:24.538656 46.515948:24.538541
29,46.514783:24.539232 46.514777:24.540128 46.514880:24.540822
30,46.514783:24.539232 46.515649:24.538695 46.516450:24.538358
31,46.514880:24.540822 46.515049:24.541475 46.515221:24.542286
32,46.514880:24.540822 46.515700:24.540524 46.516449:24.540218
33,46.515221:24.542286 46.515058:24.542548 46.514843:24.543048
34,46.514843:24.543048 46.514848:24.544266 46.514818:24.545332
35,46.514843:24.543048 46.515492:24.543576 46.516129:24.544016
36,46.514818:24.545332 46.514744:24.545765 46.514717:24.546197
37,46.514818:24.545332 46.515536:24.545167 46.516016:24.544869
38,46.514717:24.546197 46.514867:24.546428 46.515149:24.546721
39,46.514717:24.546197 46.515542:24.546154 46.516347:24.546151
40,46.515149:24.546721 46.515090:24.547999 46.515017:24.549283
41,46.515149:24.546721 46.515680:24.547236 46.516037:24.548081
42,46.515017:24.549283 46.514681:24.549540 46.514295:24.549855
43,46.515017:24.549283 46.515759:24.548880 46.516435:24.548563
44,46.514295:24.549855 46.514493:24.550480 46.514963:24.550937
45,46.514295:24.549855 46.515611:24.549687 46.517029:24.549484
46,46.514963:24.550937 46.515083:24.551745 46.515174:24.552581
47,46.514963:24.550937 46.515629:24.551051 46.516388:24.551185
48,46.515174:24.552581 46.514770:24.553481 46.514487:24.554286
49,46.515174:24.552581 46.515623:24.552710 46.516114:24.552926
50,46.514487:24.554286 46.514774:24.554896 46.515234:24.555643
51,46.515234:24.555643 46.515350:24.556133 46.515504:24.556685
52,46.515234:24.555643 46.515452:24.555032 46.515533:24.554538
53,46.515504:24.556685 46.515279:24.557005 46.515042:24.557241
54,46.515504:24.556685 46.516010:24.556587 46.516283:24.556088
55,46.515042:24.557241 46.515231:24.558014 46.515215:24.558855
56,46.515042:24.557241 46.515408:24.557187 46.515708:24.557165
57,46.515215:24.558855 46.515004:24.559379 46.514842:24.559866
58,46.515215:24.558855 46.515891:24.559213 46.516511:24.559466
59,46.514842:24.559866 46.514697:24.560568 46.514661:24.561500
60,46.514842:24.559866 46.515804:24.559818 46.516583:24.560013
61,46.514661:24.561500 46.515118:24.561883 46.515451:24.562129
62,46.514661:24.561500 46.515430:24.561446 46.516068:24.561226
63,46.515451:24.562129 46.514954:24.563349 46.514490:24.564456
64,46.515451:24.562129 46.515860:24.562875 46.516336:24.563759
65,46.514490:24.564456 46.515111:24.565113 46.515505:24.565912
66,46.514490:24.564456 46.515197:24.564834 46.515756:24.565050
67,46.515505:24.565912 46.514814:24.565923 46.514335:24.565823
68,46.515505:24.565912 46.516035:24.565863 46.516414:24.565572
69,46.514335:24.565823 46.514707:24.566826 46.515125:24.567930
70,46.514335:24.565823 46.514828:24.566797 46.515378:24.567590
71,46.515125:24.567930 46.514858:24.568981 46.514608:24.570005
72,46.514608:24.570005 46.514996:24.570447 46.515386:24.570940
73,46.514608:24.570005 46.515424:24.569852 46.516208:24.569750
74,46.515386:24.570940 46.515097:24.571658 46.515086:24.572369
75,46.515086:24.572369 46.515195:24.573136 46.515558:24.573757
76,46.515086:24.572369 46.515701:24.572492 46.516465:24.572843
77,46.515558:24.573757 46.515261:24.574348 46.515182:24.575029
78,46.515558:24.573757 46.516037:24.573615 46.516576:24.573397
79,46.515182:24.575029 46.514852:24.575833 46.514451:24.576664
80,46.515182:24.575029 46.515439:24.575198 46.515807:24.575241
81,46.514451:24.576664 46.514816:24.577159 46.515334:24.577630
82,46.515334:24.577630 46.514694:24.577957 46.514309:24.578410
83,46.515334:24.577630 46.515956:24.577446 46.516566:24.577273
84,46.514309:24.578410 46.514778:24.578811 46.515295:24.579185
85,46.514309:24.578410 46.514716:24.578372 46.515264:24.578521
86,46.515295:24.579185 46.515150:24.580554 46.514936:24.581763
87,46.514936:24.581763 46.514747:24.582640 46.514541:24.583333
88,46.514936:24.581763 46.515513:24.581467 46.516179:24.581029
89,46.514541:24.583333 46.514963:24.583658 46.515193:24.583845
90,46.514541:24.583333 46.515358:24.583192 46.516064:24.582983
91,46.515193:24.583845 46.515239:24.584782 46.515114:24.585510
92,46.515193:24.583845 46.515682:24.584260 46.516095:24.584510
93,46.515114:24.585510 46.515006:24.586354 46.515042:24.587037
94,46.515114:24.585510 46.515634:24.585679 46.516046:24.585686
95,46.515042:24.587037 46.514951:24.587335 46.514768:24.587639
96,46.515042:24.587037 46.515945:24.587185 46.516590:24.587246
97,46.514768:24.587639 46.515042:24.588363 46.515365:24.589142
98,46.514768:24.587639 46.515308:24.588041 46.515833:24.588222
99,46.515365:24.589142 46.515017:24.590071 46.514692:24.590861
100,46.514692:24.590861 46.515076:24.591092 46.515513:24.591539
101,46.514692:24.590861 46.515128:24.590946 46.515381:24.590916
102,46.515513:24.591539 46.514987:24.592097 46.514517:24.592983
103,46.515513:24.591539 46.515497:24.591728 46.515637:24.591733
104,46.514517:24.592983 46.514705:24.593502 46.514948:24.594214
105,46.514517:24.592983 46.515272:24.592926 46.516001:24.593031
106,46.514948:24.594214 46.515251:24.594642 46.515492:24.595190
107,46.514948:24.594214 46.515449:24.594443 46.515861:24.594453
108,46.515492:24.595190 46.515454:24.595885 46.515441:24.596386
109,46.515492:24.595190 46.516057:24.595321 46.516695:24.595672
110,46.515441:24.596386 46.514944:24.597479 46.514725:24.598545
111,46.515441:24.596386 46.515780:24.597012 46.516254:24.597407
112,46.514725:24.598545 46.515049:24.599105 46.515395:24.599952
113,46.514725:24.598545 46.515364:24.597985 46.515999:24.597694
114,46.515395:24.599952 46.515270:24.600504 46.515121:24.600934
115,46.515395:24.599952 46.515706:24.599966 46.515873:24.600048
116,46.515121:24.600934 46.515063:24.601671 46.515053:24.602433
117,46.515053:24.602433 46.514992:24.602829 46.514938:24.603603
118,46.515053:24.602433 46.515689:24.602552 46.516420:24.602531
119,46.514938:24.603603 46.515122:24.604042 46.515200:24.604783
120,46.514938:24.603603 46.515490:24.603664 46.516070:24.603841
121,46.515200:24.604783 46.515298:24.605569 46.515267:24.606342
122,46.515200:24.604783 46.515680:24.604452 46.516126:24.604252
123,46.515267:24.606342 46.515430:24.606792 46.515704:24.607538
124,46.515267:24.606342 46.515321:24.606064 46.515520:24.605799
125,46.515704:24.607538 46.515336:24.607915 46.514850:24.608528
126,46.514850:24.608528 46.514849:24.609387 46.514995:24.610416
127,46.514850:24.608528 46.515295:24.608436 46.515752:24.608349
128,46.514995:24.610416 46.515276:24.610122 46.515532:24.609947
129,46.515950:24.520174 46.516397:24.520126 46.516711:24.520150
