id,osm_id,lat,lon
0,900000000,46.5149104,24.5202301
1,900000001,46.5149209,24.5211626
2,900000002,46.5146745,24.5225127
3,900000003,46.5153892,24.5241039
4,900000004,46.5153629,24.5253294
5,900000005,46.5151382,24.5266051
6,900000006,46.5144169,24.5282109
7,900000007,46.5151772,24.5293549
8,900000008,46.5144080,24.5296500
9,900000009,46.5146886,24.5315284
10,900000010,46.5151069,24.5330228
11,900000011,46.5151823,24.5340588
12,900000012,46.5151080,24.5358295
13,900000013,46.5147686,24.5377294
14,900000014,46.5151948,24.5387995
15,900000015,46.5147829,24.5392324
16,900000016,46.5148796,24.5408217
17,900000017,46.5152212,24.5422857
18,900000018,46.5148434,24.5430477
19,900000019,46.5148178,24.5453320
20,900000020,46.5147172,24.5461971
21,900000021,46.5151493,24.5467209
22,900000022,46.5150170,24.5492835
23,900000023,46.5142950,24.5498553
24,900000024,46.5149629,24.5509366
25,900000025,46.5151741,24.5525807
26,900000026,46.5144874,24.5542856
27,900000027,46.5152343,24.5556430
28,900000028,46.5155042,24.5566847
29,900000029,46.5150417,24.5572415
30,900000030,46.5152154,24.5588551
31,900000031,46.5148416,24.5598656
32,900000032,46.5146613,24.5615001
33,900000033,46.5154511,24.5621292
34,900000034,46.5144898,24.5644555
35,900000035,46.5155052,24.5659125
36,900000036,46.5143350,24.5658233
37,900000037,46.5151251,24.5679296
38,900000038,46.5146081,24.5700050
39,900000039,46.5153856,24.5709403
40,900000040,46.5150860,24.5723694
41,900000041,46.5155579,24.5737568
42,900000042,46.5151815,24.5750291
43,900000043,46.5144511,24.5766637
44,900000044,46.5153343,24.5776296
45,900000045,46.5143091,24.5784105
46,900000046,46.5152948,24.5791850
47,900000047,46.5149356,24.5817631
48,900000048,46.5145411,24.5833332
49,900000049,46.5151932,24.5838455
50,900000050,46.5151137,24.5855098
51,900000051,46.5150421,24.5870373
52,900000052,46.5147685,24.5876395
53,900000053,46.5153646,24.5891425
54,900000054,46.5146918,24.5908607
55,900000055,46.5155129,24.5915390
56,900000056,46.5145170,24.5929828
57,900000057,46.5149478,24.5942137
58,900000058,46.5154917,24.5951901
59,900000059,46.5154412,24.5963858
60,900000060,46.5147245,24.5985451
61,900000061,46.5153950,24.5999518
62,900000062,46.5151208,24.6009336
63,900000063,46.5150534,24.6024328
64,900000064,46.5149383,24.6036031
65,900000065,46.5152005,24.6047830
66,900000066,46.5152674,24.6063416
67,900000067,46.5157037,24.6075375
68,900000068,46.5148503,24.6085280
69,900000069,46.5149954,24.6104157
70,900000070,46.5159500,24.5201736
71,900000071,46.5167109,24.5201502
72,900000072,46.5156744,24.5227184
73,900000073,46.5162072,24.5240204
74,900000074,46.5159169,24.5255122
75,900000075,46.5161665,24.5262868
76,900000076,46.5169183,24.5279859
77,900000077,46.5158738,24.5290857
78,900000078,46.5159888,24.5304065
