id,u,v,length_m,speed_kph,oneway,name
0,36275,4407,53.01,60,1,Calea Dorobanților
1,34326,12151,602.62,50,1,Bulevardul Camil Ressu
2,69,47832,2516.85,100,0,
3,19205,6947,54.04,50,1,Șoseaua Pantelimon
4,35101,32191,882.75,60,1,Calea Rahovei
5,31657,14784,874.59,60,1,Bulevardul „Regele Mihai I”
6,3429,23541,199.86,50,1,Bulevardul Iancu de Hunedoara
7,23541,24279,24.35,50,1,Bulevardul Iancu de Hunedoara
8,24490,24491,5.03,60,1,Calea Griviței
9,24891,4569,449.68,60,1,Bulevardul Bucureștii Noi
10,24397,15118,156.00,50,1,Piața Unirii
11,4723,4720,259.86,40,1,Pasajul Unirii
12,4713,36703,84.30,60,1,Bulevardul Lascăr Catargiu
13,41021,4481,5.86,50,0,Bulevardul Pache Protopopescu
14,189,33414,311.39,50,0,Șoseaua Baldovinești
15,53,12479,37.27,90,0,
16,46487,35798,5764.88,90,0,
17,150,36479,1109.01,50,0,Șoseaua Galați
18,36479,151,53.49,50,0,Șoseaua Galați
19,154,155,219.01,90,0,Bulevardul Brăilei
20,148,11865,607.27,50,0,Strada Vlad Țepeș
21,164,163,95.43,50,1,Strada Mărășești
22,165,166,236.88,50,0,Strada Mărășești
23,42590,184,2949.99,90,0,
24,169,29481,116.95,30,0,
25,194,47879,117.61,50,0,Bulevardul Regina Elisabeta
26,5587,204,34.13,50,1,Calea Aradului
27,235,234,78.30,50,1,Piața General Gheorghe Domășnean
28,32972,33764,199.19,70,1,Calea Șagului
29,14100,226,19.24,50,1,Bulevardul Iuliu Maniu
30,226,35142,343.67,50,1,Bulevardul Iuliu Maniu
31,35142,35143,12.14,50,1,Bulevardul Iuliu Maniu
32,35143,8271,145.98,50,1,Bulevardul Iuliu Maniu
33,4065,20518,616.41,50,1,Bulevardul Unirii
34,20518,4022,26.14,50,1,Bulevardul Unirii
35,35501,49,78.14,100,1,
36,2331,46,214.60,40,1,
37,360,359,71.43,50,1,Bulevardul 1 Decembrie 1918
38,201,23130,652.98,50,1,Bulevardul Liviu Rebreanu
39,46108,16091,313.53,50,0,Bulevardul 22 Decembrie 1989
40,10515,30581,276.61,30,0,
41,28770,103,1424.22,40,0,
42,10744,107,940.81,50,0,Strada Principală
43,118,119,188.37,30,0,Strada Principală
44,31452,121,2595.36,90,0,
