id,coords
0,44.465803:26.086656 44.465726:26.086799 44.465574:26.087083 44.465517:26.087191
1,44.417587:26.146365 44.417549:26.146479 44.417488:26.146651 44.417427:26.146814 44.417368:26.146964 44.416994:26.147886 44.416879:26.148164 44.416458:26.149181 44.416340:26.149469 44.415484:26.151579 44.415113:26.152472 44.414909:26.152960
2,44.749716:27.449330 44.748985:27.448492 44.742464:27.441102 44.735302:27.432998 44.732844:27.430107 44.732118:27.429291
3,44.441030:26.191091 44.441047:26.191382 44.441066:26.191770
4,44.406746:26.064833 44.406843:26.064973 44.407630:26.066093 44.408099:26.066752 44.408470:26.067281 44.408851:26.067801 44.409703:26.068980 44.409716:26.068998 44.409992:26.069380 44.410111:26.069545 44.410486:26.070062 44.410596:26.070214 44.411308:26.071207 44.412058:26.072236 44.412373:26.072672
5,44.475122:26.074017 44.472214:26.075442 44.472190:26.075454 44.472117:26.075491 44.471904:26.075596 44.468623:26.077225 44.468094:26.077488 44.467728:26.077676 44.467706:26.077687
6,44.452774:26.093179 44.452663:26.091836 44.452614:26.091213 44.452610:26.091160 44.452579:26.090827 44.452565:26.090678
7,44.452565:26.090678 44.452513:26.090381
8,44.476558:26.045855 44.476598:26.045825
9,44.483972:26.040102 44.484657:26.039574 44.485213:26.039141 44.485311:26.039068 44.485672:26.038783 44.485726:26.038741 44.485826:26.038664 44.485903:26.038604 44.486174:26.038392 44.486372:26.038238 44.487076:26.037683 44.487416:26.037423 44.487508:26.037353
10,44.426797:26.103984 44.426889:26.103974 44.427030:26.103958 44.427984:26.103862 44.428155:26.103845 44.428196:26.103841
11,44.422475:26.104156 44.423700:26.104163 44.424813:26.104157
12,44.448878:26.093097 44.448998:26.092866 44.449176:26.092519 44.449318:26.092232
13,44.441167:26.132754 44.441153:26.132682
14,45.289303:27.952251 45.288867:27.952666 45.288516:27.952979 45.288196:27.953264 45.287974:27.953456 45.287770:27.953636 45.287499:27.953877 45.287063:27.954250 45.286930:27.954363
15,45.257615:27.959828 45.257596:27.959760 45.257568:27.959698 45.257546:27.959663 45.257507:27.959619 45.257463:27.959586 45.257416:27.959566 45.257366:27.959559
16,45.773878:27.119131 45.772904:27.119407 45.771622:27.119782 45.767811:27.120880 45.767425:27.120990 45.766939:27.121144 45.766379:27.121296 45.765826:27.121474 45.765561:27.121573 45.765282:27.121732 45.764940:27.121974 45.764024:27.122641 45.762349:27.123870 45.761565:27.124421 45.760722:27.125035 45.759920:27.125620 45.759100:27.126212 45.758451:27.126683 45.757750:27.127182 45.757447:27.127405 45.757141:27.127626 45.757019:27.127735 45.756900:27.127844 45.756492:27.128275 45.755999:27.128808 45.755074:27.129815 45.754613:27.130315 45.754122:27.130850 45.753608:27.131422 45.753206:27.131892 45.753069:27.132068 45.752935:27.132248 45.752642:27.132685 45.751813:27.133952 45.751119:27.134995 45.750459:27.136011 45.750159:27.136466 45.749865:27.136894 45.749176:27.137943 45.748362:27.139165 45.747524:27.140424 45.745899:27.142875 45.744982:27.144245 45.744370:27.145087 45.744193:27.145296 45.743990:27.145528 45.743830:27.145686 45.743525:27.145945 45.742839:27.146435 45.741944:27.147048 45.741108:27.147610 45.740268:27.148177 45.739647:27.148589 45.739348:27.148781 45.739058:27.148952 45.738772:27.149092 45.738134:27.149380 45.737468:27.149669 45.736959:27.149887 45.736395:27.150121 45.736197:27.150169 45.735974:27.150205 45.735546:27.150280 45.735189:27.150341 45.735025:27.150393 45.734890:27.150468 45.734779:27.150553 45.733961:27.151303 45.733903:27.151356 45.733340:27.151873 45.732760:27.152419 45.732140:27.153010 45.731461:27.153652 45.730766:27.154301 45.730460:27.154588 45.730203:27.154876 45.730126:27.154974 45.730091:27.155021 45.730047:27.155081 45.729980:27.155180 45.729959:27.155212
17,45.677077:27.247848 45.677060:27.245956 45.677052:27.244944 45.677046:27.244550 45.677055:27.244163 45.677079:27.243738 45.677152:27.243080 45.677176:27.242861 45.677261:27.242061 45.677375:27.240914 45.677510:27.239639 45.677642:27.238316 45.677703:27.237825 45.677759:27.237298 45.677802:27.237099 45.677852:27.236924 45.677888:27.236831 45.677943:27.236721 45.678017:27.236605 45.678081:27.236518 45.678168:27.236424 45.678771:27.236007 45.679399:27.235587 45.679518:27.235502 45.679601:27.235417 45.679674:27.235321 45.679733:27.235206
18,45.679733:27.235206 45.679808:27.235016 45.679850:27.234826 45.679861:27.234556
19,45.679130:27.211576 45.679727:27.210612 45.680443:27.209476
20,45.718836:27.167336 45.718434:27.167242 45.718072:27.167135 45.717819:27.167064 45.717589:27.166995 45.716363:27.166628 45.714929:27.166208 45.714583:27.166109 45.713728:27.165858 45.713480:27.165813
21,45.707073:27.193371 45.706985:27.193110 45.706940:27.192974 45.706920:27.192846 45.706910:27.192782 45.706922:27.192500 45.706963:27.192196
22,45.710386:27.173152 45.710499:27.172538 45.710596:27.172094 45.710671:27.171793 45.710782:27.171407 45.711160:27.170321
23,45.407670:27.647111 45.406849:27.650783 45.406004:27.654481 45.405744:27.655600 45.405600:27.656241 45.405480:27.656783 45.405456:27.656900 45.405384:27.657107 45.404935:27.658393 45.404605:27.659269 45.404436:27.659733 45.404383:27.659909 45.404318:27.660150 45.404211:27.660628 45.403927:27.661985 45.403074:27.666083 45.402899:27.667010 45.402578:27.668564 45.402342:27.669708 45.401752:27.672517 45.401485:27.673768 45.401389:27.674240 45.401316:27.674597 45.400780:27.677213 45.400492:27.678545 45.400240:27.679690 45.400169:27.680022 45.400136:27.680192 45.400096:27.680357 45.400045:27.680529 45.399987:27.680689 45.399885:27.680936 45.399687:27.681263 45.399508:27.681563 45.398950:27.682597
24,45.650119:27.315672 45.649903:27.316283 45.649580:27.316961
25,44.435342:26.101610 44.435221:26.100944 44.435101:26.100292 44.435080:26.100175
26,45.786940:21.217461 45.786858:21.217516 45.786806:21.217545 45.786755:21.217570 45.786651:21.217608
27,45.732446:21.258875 45.732423:21.258938 45.732403:21.259004 45.732386:21.259071 45.732374:21.259141 45.732365:21.259211 45.732360:21.259283 45.732359:21.259379 45.732365:21.259475 45.732379:21.259570 45.732399:21.259662 45.732425:21.259750 45.732458:21.259835
28,45.720080:21.198243 45.719782:21.197992 45.718528:21.196963
29,45.739299:21.209821 45.739364:21.209774 45.739453:21.209709
30,45.739453:21.209709 45.739502:21.209678 45.739690:21.209550 45.739963:21.209361 45.740054:21.209299 45.740099:21.209269 45.740999:21.208651 45.742154:21.207862 45.742182:21.207843 45.742242:21.207802
31,45.742242:21.207802 45.742341:21.207735
32,45.742341:21.207735 45.742415:21.207684 45.742945:21.207307 45.743357:21.207002 45.743403:21.206967 45.743511:21.206882
33,44.427059:26.092353 44.427111:26.092427 44.427145:26.092492 44.427164:26.092556 44.427171:26.092605 44.427173:26.092662 44.427149:26.093162 44.427045:26.094930 44.427009:26.095737 44.426983:26.096303 44.426957:26.096844 44.426956:26.096851 44.426956:26.096857 44.426956:26.096862 44.426956:26.096867 44.426955:26.096873 44.426936:26.097250 44.426913:26.097710 44.426808:26.100046
34,44.426808:26.100046 44.426796:26.100294 44.426793:26.100374
35,44.410875:27.374009 44.410819:27.374207 44.410755:27.374360 44.410677:27.374500 44.410473:27.374802
36,44.407172:27.373335 44.406994:27.373924 44.406903:27.374126 44.406755:27.374376 44.406581:27.374620 44.406387:27.374837 44.406171:27.375070 44.405930:27.375327
37,46.539680:24.559853 46.539847:24.559126 46.539878:24.558965
38,45.734052:21.257646 45.734574:21.256684 45.734768:21.256334 45.734852:21.256180 45.735322:21.255299 45.736008:21.254130 45.736070:21.254019 45.736280:21.253617 45.736291:21.253595 45.736578:21.252949 45.736791:21.252365 45.737020:21.251621 45.737082:21.251364 45.737227:21.250776 45.737248:21.250669
39,46.564438:24.585871 46.564670:24.586257 46.565069:24.586920 46.565088:24.586952 46.565497:24.587630 46.566294:24.588959
40,45.992036:26.314672 45.992073:26.314766 45.992094:26.314877 45.992105:26.315003 45.992090:26.315144 45.992024:26.315327 45.991934:26.315436 45.991835:26.315501 45.991668:26.315531 45.991405:26.315544 45.991152:26.315543 45.991064:26.315592 45.990993:26.315658 45.990930:26.315803 45.990869:26.316011 45.990824:26.316248 45.990764:26.316461 45.990628:26.316855
41,45.930463:26.609752 45.930360:26.610039 45.930286:26.610176 45.930198:26.610300 45.930039:26.610491 45.929807:26.610744 45.929560:26.610946 45.929346:26.611098 45.929216:26.611207 45.929142:26.611318 45.929085:26.611460 45.929010:26.611777 45.928942:26.612125 45.928878:26.612398 45.928796:26.612667 45.928748:26.612863 45.928739:26.613005 45.928743:26.613313 45.928764:26.613780 45.928791:26.614129 45.928834:26.614338 45.928900:26.614531 45.929064:26.614917 45.929280:26.615363 45.929432:26.615669 45.929550:26.615911 45.929646:26.616135 45.929770:26.616471 45.929863:26.616796 45.929909:26.616999 45.929939:26.617186 45.929952:26.617362 45.929934:26.617671 45.929736:26.619423 45.929669:26.620349 45.929640:26.620493 45.929562:26.620640 45.929470:26.620783 45.929319:26.621025 45.929190:26.621310 45.929113:26.621558 45.929070:26.621759 45.929048:26.621974 45.929039:26.622149 45.929057:26.622294 45.929165:26.622785 45.929190:26.622977 45.929175:26.623203 45.929124:26.623379 45.929040:26.623570 45.928945:26.623771 45.928835:26.624026 45.928776:26.624235 45.928759:26.624453 45.928732:26.624776 45.928705:26.625148 45.928668:26.625500 45.928575:26.626162
42,45.914867:26.669741 45.915068:26.670047 45.915624:26.670666 45.915696:26.670730 45.915872:26.670835 45.915970:26.670867 45.916494:26.670983 45.916574:26.671021 45.916639:26.671051 45.916942:26.671319 45.917120:26.671451 45.917384:26.671613 45.917453:26.671656 45.917501:26.671685 45.918107:26.672070 45.918336:26.672235 45.918491:26.672399 45.919117:26.673184 45.919201:26.673294 45.919232:26.673334 45.919695:26.673853 45.919877:26.673978 45.920217:26.674159 45.920842:26.674501 45.921373:26.674789 45.921547:26.674907 45.921978:26.675242 45.922209:26.675441
43,45.905513:26.749656 45.905088:26.750048 45.904957:26.750190 45.904853:26.750334 45.904752:26.750515 45.904678:26.750700 45.904551:26.751044 45.904469:26.751228 45.904463:26.751243 45.904365:26.751378
44,45.886911:26.775427 45.886758:26.775437 45.886639:26.775411 45.886519:26.775350 45.886370:26.775269 45.886350:26.775258 45.886210:26.775177 45.886133:26.775168 45.886031:26.775200 45.885948:26.775283 45.885880:26.775393 45.885812:26.775521 45.885778:26.775587 45.885714:26.775695 45.885628:26.775735 45.885545:26.775760 45.885398:26.775766 45.885308:26.775795 45.885205:26.775857 45.885089:26.775991 45.884985:26.776106 45.884681:26.776474 45.884481:26.776742 45.884406:26.776876 45.884363:26.777024 45.884312:26.777272 45.884259:26.777411 45.884156:26.777559 45.884089:26.777697 45.884037:26.777831 45.884007:26.777965 45.884003:26.778126 45.884055:26.778493 45.884119:26.778684 45.884197:26.778764 45.884322:26.778829 45.884559:26.778855 45.884817:26.778941 45.885220:26.779188 45.885418:26.779354 45.885534:26.779488 45.885616:26.779644 45.885715:26.779867 45.885734:26.779945 45.885731:26.780052 45.885715:26.780123 45.885668:26.780206 45.885610:26.780266 45.885466:26.780273 45.885175:26.780259 45.884993:26.780277 45.884925:26.780309 45.884806:26.780427 45.884735:26.780535 45.884694:26.780663 45.884675:26.780873 45.884698:26.781017 45.884862:26.781597 45.884895:26.781751 45.884902:26.781921 45.884873:26.782053 45.884810:26.782170 45.884719:26.782229 45.884623:26.782238 45.884417:26.782216 45.883902:26.782152 45.883684:26.782122 45.883581:26.782152 45.883474:26.782232 45.883351:26.782420 45.883207:26.782756 45.882978:26.783209 45.882897:26.783324 45.882771:26.783426 45.882642:26.783488 45.882345:26.783579 45.882125:26.783700 45.882014:26.783815 45.881897:26.784024 45.881774:26.784440 45.881736:26.784719 45.881751:26.785030 45.881833:26.785577 45.881904:26.785939 45.882108:26.786592 45.882191:26.786966 45.882223:26.787166 45.882245:26.787399 45.882287:26.788123 45.882309:26.788343 45.882353:26.788559 45.882636:26.789505 45.882657:26.789635 45.882662:26.789790 45.882666:26.790004 45.882679:26.790186 45.882715:26.790330 45.882761:26.790422 45.882820:26.790508 45.883062:26.790692 45.883208:26.790784 45.883264:26.790866 45.883292:26.790953 45.883299:26.791037 45.883285:26.791118 45.883249:26.791191 45.883109:26.791354 45.882576:26.791829 45.882221:26.792135 45.881541:26.792625 45.881181:26.792901 45.880623:26.793369 45.880308:26.793635 45.879982:26.793958 45.879778:26.794166 45.879741:26.794204 45.879510:26.794448 45.879232:26.794782 45.879011:26.795063 45.878984:26.795105 45.878885:26.795260 45.878771:26.795512 45.878656:26.795784
45,45.889947:26.829239 45.890006:26.829531 45.890048:26.829790 45.890072:26.829971 45.890085:26.830070 45.890157:26.830910 45.890242:26.832160 45.890304:26.832860 45.890369:26.833313 45.890476:26.833864 45.890558:26.834439 45.890615:26.834798 45.890674:26.835252 45.890718:26.835732 45.890749:26.836139 45.890760:26.836552
46,45.898077:26.874661 45.898043:26.875394 45.897880:26.879481 45.897856:26.880070 45.897847:26.880389 45.897833:26.880843 45.897846:26.881240 45.897878:26.881470 45.897916:26.881653 45.897937:26.881751 45.897975:26.881894 45.898012:26.882023 45.898299:26.882882 45.898461:26.883387 45.898570:26.883650 45.898723:26.883949 45.898753:26.883993 45.898954:26.884288 45.899098:26.884552 45.899177:26.884730
47,45.908966:26.953677 45.908783:26.954087 45.908661:26.954412 45.908551:26.954725 45.908508:26.954894 45.908437:26.955492 45.908389:26.956171 45.908327:26.956742 45.908226:26.957295 45.908086:26.957799 45.907762:26.958904 45.907480:26.959824 45.907323:26.960328 45.906894:26.961733 45.906864:26.961833 45.906194:26.964190 45.906133:26.964412 45.905920:26.965431 45.905589:26.967192 45.905479:26.967665 45.905101:26.969105 45.904770:26.970320 45.904641:26.970760 45.904382:26.971505 45.904173:26.972063 45.903654:26.973351 45.902907:26.975271 45.902567:26.976097 45.902399:26.976492 45.901625:26.978500 45.901147:26.979705 45.900594:26.981038
48,45.899615:26.983336 45.898118:26.986752 45.897602:26.987960 45.896912:26.989461 45.896169:26.991092 45.895947:26.991555 45.895645:26.992175 45.894997:26.993371 45.894271:26.994923 45.893446:26.996796 45.892772:26.998265 45.892445:26.998978 45.892276:26.999455 45.892221:26.999630 45.892158:26.999836 45.891994:27.000314 45.891645:27.001358 45.891322:27.002780 45.891098:27.003748 45.890762:27.005170 45.890568:27.006216 45.890338:27.007439 45.890209:27.007873 45.889795:27.008613 45.889488:27.009123 45.889238:27.009681 45.888802:27.010837 45.888574:27.011298 45.888289:27.011797 45.887786:27.012622 45.885495:27.016371 45.883896:27.018967 45.882893:27.020566 45.882029:27.022015
49,45.837737:27.076282 45.836611:27.077989 45.835873:27.079113 45.835629:27.079410 45.835299:27.079715 45.834983:27.079954 45.834589:27.080185 45.834427:27.080312 45.833883:27.080912 45.833128:27.081746 45.831396:27.083574 45.829655:27.085484 45.829461:27.085674
