id,osm_id,lat,lon
0,537912,44.4257661,26.1231032
1,574786,44.4193013,26.1398903
2,574840,44.4195477,26.1397869
3,578689,44.4259230,26.1231189
4,578908,44.4243323,26.1377586
5,581512,44.4291360,26.1018175
6,581515,44.4297594,26.0972870
7,581770,44.4329625,26.0913592
8,581773,44.4340620,26.0787806
9,581780,44.4344402,26.0449371
10,581781,44.4342885,26.0449404
11,621112,44.4664558,26.0866789
12,621140,44.4540662,26.0576376
13,621142,44.4541601,26.0583025
14,656998,44.4562668,26.0640246
15,657013,44.4622229,26.0725497
16,659654,44.4176571,26.1461474
17,659665,44.4604305,26.0939945
18,659671,44.4531070,26.0985852
19,659934,44.4392827,26.1226071
20,659994,44.4374672,26.1362565
21,660928,44.4131625,26.1639319
22,660929,44.4133420,26.1624836
23,660956,44.4070574,26.2209247
24,670017,44.4067401,26.2299771
25,670019,44.4067918,26.2316913
26,670026,44.4073508,26.2349998
27,670030,44.4089005,26.2428963
28,670041,44.4085497,26.2728588
29,670043,44.4104737,26.2844125
30,670045,44.4084308,26.2728398
31,670047,44.4103663,26.2844591
32,670056,44.4318459,26.3605039
33,670057,44.4321182,26.3611151
34,670107,44.4488571,26.5136136
35,670108,44.4490086,26.5128160
36,670159,44.4440561,26.6856180
37,670164,44.4441641,26.6855776
38,670195,44.4419326,26.7949396
39,670196,44.4420511,26.7949584
40,670207,44.4310090,26.8379836
41,670208,44.4311051,26.8380779
42,670221,44.4258167,26.8627778
43,670224,44.4259786,26.8639816
44,670288,44.4248229,27.1449939
45,670322,44.4070288,27.3752862
46,670325,44.4059298,27.3753267
47,670328,44.4062274,27.3768689
48,670330,44.4071148,27.3771217
49,670339,44.4104732,27.3748022
50,673163,45.2817587,27.9623146
51,673165,45.2745308,27.9563723
52,673171,45.2583249,27.9589915
53,673175,45.2576146,27.9598279
54,673192,45.2572799,27.9602720
55,673193,45.2573056,27.9602827
56,673265,44.4344632,27.3778258
57,673269,44.4821920,27.3860517
58,673279,44.5578183,27.3808376
59,673281,44.5591174,27.3810571
60,673283,44.5636545,27.3846747
61,673285,44.5656955,27.3844576
62,673286,44.5666132,27.3850131
63,673288,44.5671302,27.3854679
64,673297,44.5685227,27.3845338
65,673302,44.5949943,27.3908753
66,673307,44.6085282,27.3850403
67,673344,44.7249656,27.4229975
68,673347,44.7283495,27.4250978
