id,u,v,length_m,speed_kph,oneway,name
0,7,1007,10.07,30,0,
1,3177,3,31.70,50,1,Strada Budiului
2,25,7116,26.07,30,0,Strada Transilvania
3,7116,26,55.86,30,0,Strada Transilvania
4,26,1019,14.16,30,0,Strada Transilvania
5,18,4220,59.11,50,0,Strada Cernavodă
6,4220,371,11.47,50,0,Strada Cernavodă
7,371,374,42.77,50,0,Strada Cernavodă
8,374,25,39.80,50,0,Strada Cernavodă
9,5244,2,42.30,50,0,Bulevardul Pandurilor
10,273,38,29.10,50,1,Strada Crinului
11,38,6721,10.52,50,1,Strada Crinului
12,6721,252,1.83,50,1,Strada Crinului
13,41,40,71.43,50,1,Bulevardul 1 Decembrie 1918
14,51,52,64.42,50,1,Strada Rodnei
15,52,793,69.82,50,1,Strada Rodnei
16,793,6589,62.08,50,1,Strada Rodnei
17,6589,736,55.95,50,1,Strada Rodnei
18,736,53,83.75,50,1,Strada Rodnei
19,16,7597,40.22,50,1,Strada Lăpușna
20,7597,65,168.03,50,1,Strada Lăpușna
21,8150,6448,39.18,50,0,Bulevardul 22 Decembrie 1989
22,6448,6446,67.33,50,0,Bulevardul 22 Decembrie 1989
23,6446,2722,207.02,50,0,Bulevardul 22 Decembrie 1989
24,77,3089,25.70,20,1,
25,2695,249,90.59,50,1,Strada Liviu Rebreanu
26,249,7845,1.21,50,1,Strada Liviu Rebreanu
27,4290,1885,26.12,50,0,Strada Înfrățirii
28,1885,96,40.98,50,0,Strada Înfrățirii
29,96,6318,76.45,50,0,Strada Înfrățirii
30,245,2005,15.37,50,0,Strada Sârguinței
31,2005,244,108.99,50,0,Strada Sârguinței
32,244,7189,21.74,50,0,Strada Sârguinței
33,7189,1624,37.98,50,0,Strada Sârguinței
34,1624,7192,81.26,50,0,Strada Sârguinței
35,7192,7193,54.38,50,0,Strada Sârguinței
36,7193,6356,2.64,50,0,Strada Sârguinței
37,6356,98,99.29,50,0,Strada Sârguinței
38,98,1835,8.91,50,0,Strada Sârguinței
39,1835,20,38.75,50,0,Strada Sârguinței
40,33,6250,26.35,50,0,Strada Banat
41,6250,19,80.24,50,0,Strada Banat
42,438,437,31.79,50,0,
43,437,26,13.73,50,0,
44,89,153,92.21,50,1,Strada Borsos Tamás
45,153,8264,87.33,50,1,Strada Borsos Tamás
46,8264,143,68.32,50,1,Strada Borsos Tamás
47,143,8948,78.39,30,1,Strada Crizantemelor
