id,coords
0,46.528453:24.545380 46.528529:24.545307
1,46.526341:24.551514 46.526626:24.551492
2,46.531652:24.575903 46.531666:24.576243
3,46.531666:24.576243 46.531667:24.576295 46.531681:24.576583 46.531675:24.576677 46.531667:24.576763 46.531647:24.576969
4,46.531647:24.576969 46.531621:24.577150
5,46.533026:24.575775 46.532878:24.575788 46.532852:24.575791 46.532824:24.575793 46.532703:24.575804 46.532495:24.575821
6,46.532495:24.575821 46.532392:24.575829
7,46.532392:24.575829 46.532309:24.575837 46.532176:24.575851 46.532009:24.575867
8,46.532009:24.575867 46.531921:24.575876 46.531859:24.575882 46.531737:24.575894 46.531712:24.575896 46.531699:24.575897 46.531652:24.575903
9,46.533612:24.567875 46.533578:24.567880 46.533547:24.567872 46.533516:24.567856 46.533276:24.567639
10,46.537345:24.558665 46.537345:24.558652 46.537356:24.558493 46.537357:24.558481 46.537365:24.558286
11,46.537365:24.558286 46.537360:24.558226 46.537338:24.558156
12,46.537338:24.558156 46.537331:24.558134
13,46.539680:24.559853 46.539847:24.559126 46.539878:24.558965
14,46.543490:24.551672 46.543454:24.551695 46.542960:24.552014
15,46.542960:24.552014 46.542388:24.552390
16,46.542388:24.552390 46.541917:24.552715 46.541883:24.552736
17,46.541883:24.552736 46.541420:24.553020
18,46.541420:24.553020 46.540968:24.553312 46.540754:24.553458 46.540733:24.553472
19,46.536185:24.555889 46.536237:24.555809 46.536443:24.555520
20,46.536443:24.555520 46.536739:24.555099 46.537116:24.554586 46.537510:24.554057 46.537521:24.554043 46.537543:24.554014
21,46.564438:24.585871 46.564670:24.586257
22,46.564670:24.586257 46.565069:24.586920
23,46.565069:24.586920 46.565088:24.586952 46.565497:24.587630 46.566294:24.588959
24,46.593338:24.625527 46.593497:24.625284
25,46.540497:24.557018 46.540453:24.556994 46.540162:24.556828 46.539893:24.556631 46.539794:24.556506 46.539776:24.556485
26,46.539776:24.556485 46.539768:24.556474
27,46.539399:24.584682 46.539175:24.584580
28,46.539175:24.584580 46.539134:24.584561 46.539085:24.584539 46.538823:24.584420
29,46.538823:24.584420 46.538702:24.584377 46.538527:24.584360 46.538360:24.584369 46.538202:24.584381 46.538162:24.584384 46.538140:24.584385
30,46.532902:24.587403 46.532775:24.587326
31,46.532775:24.587326 46.532561:24.587200 46.532465:24.587121 46.532407:24.587010 46.532382:24.586864 46.532399:24.586686 46.532530:24.586267
32,46.532530:24.586267 46.532615:24.586011
33,46.532615:24.586011 46.532764:24.585564
34,46.532764:24.585564 46.532987:24.584881 46.532991:24.584869 46.532998:24.584855 46.533074:24.584704 46.533122:24.584650
35,46.533122:24.584650 46.533189:24.584574 46.533522:24.584242
36,46.533522:24.584242 46.533542:24.584222
37,46.533542:24.584222 46.533586:24.584178 46.533705:24.584038 46.533827:24.583839 46.534096:24.583222
