id,osm_id,lat,lon
0,26003372,46.5323789,24.5669463
1,26003374,46.5271573,24.5467761
2,26003377,46.5332764,24.5676392
3,26003378,46.5266260,24.5514916
4,26003382,46.5318019,24.5646366
5,26003388,46.5249022,24.5491990
6,26003391,46.5322537,24.5661192
7,26003397,46.5284531,24.5453799
8,26003403,46.5221285,24.5433806
9,26003405,46.5282018,24.5511106
10,26003414,46.5247958,24.5412787
11,26003416,46.5253981,24.5405223
12,26003417,46.5259925,24.5396757
13,26003422,46.5276465,24.5435749
14,26003426,46.5312246,24.5498595
15,26003427,46.5332514,24.5521383
16,26003429,46.5361852,24.5558891
17,26003432,46.5382235,24.5581072
18,26003442,46.5330261,24.5757753
19,26003447,46.5336652,24.5819156
20,26003448,46.5343436,24.5827132
21,26003449,46.5348271,24.5831231
22,26003450,46.5351223,24.5834022
23,26003455,46.5317475,24.5723136
24,26003457,46.5315786,24.5741272
25,26003458,46.5316515,24.5759025
26,26003459,46.5316469,24.5769688
27,26003460,46.5315900,24.5773334
28,26003461,46.5314018,24.5791542
29,26003462,46.5314179,24.5795573
30,26003464,46.5315360,24.5818369
31,26003469,46.5321637,24.5820663
32,26003470,46.5328642,24.5827774
33,26003473,46.5329908,24.5829058
34,26003630,46.5060945,24.4994955
35,26003633,46.5113858,24.5101092
36,26003849,46.5354762,24.5646162
37,26003854,46.5371888,24.5608167
38,26003856,46.5373651,24.5582855
39,26003857,46.5371883,24.5578921
40,26003932,46.5398777,24.5589648
41,26003933,46.5396798,24.5598531
42,26003944,46.5388027,24.5661209
43,26003945,46.5387616,24.5673692
44,26003947,46.5387755,24.5711786
45,26003952,46.5390568,24.5776727
46,26003954,46.5383725,24.5790679
47,26003958,46.5361311,24.5818582
48,26003959,46.5357007,24.5824026
49,26003960,46.5349112,24.5838378
50,26003970,46.5318366,24.5923897
51,26021660,46.5434897,24.5516720
52,26021661,46.5429602,24.5520137
53,26021664,46.5407333,24.5534715
54,26021667,46.5386850,24.5553771
